"sample" "pop" "lat" "lon" "ID" "Annual_Mean_Temperature" "Mean_Diurnal_Range" "Isothermality" "Temperature_Seasonality" "Max_Temperature_of_Warmest_Month" "Min_Temperature_of_Coldest_Month" "Temperature_Annual_Range" "Mean_Temperature_of_Wettest_Quarter" "Mean_Temperature_of_Driest_Quarter" "Mean_Temperature_of_Warmest_Quarter" "Mean_Temperature_of_Coldest_Quarter" "Annual_Precipitation" "Precipitation_of_Wettest_Month" "Precipitation_of_Driest_Month" "Precipitation_Seasonality" "Precipitation_of_Wettest_Quarter" "Precipitation_of_Driest_Quarter" "Precipitation_of_Warmest_Quarter" "Precipitation_of_Coldest_Quarter"
6030 "SWE" 62.806 18.1896 38 3.83432555198669 7.51904773712158 26.1164398193359 759.510986328125 19.5023803710938 -9.28809547424316 28.7904758453369 4.23412704467773 2.18650794029236 13.8091268539429 -4.89246034622192 704 88 38 28.3103008270264 241 124 189 150
6034 "SWE" 56.1 13.74 39 6.97534370422363 7.33818769454956 30.2505874633789 639.80419921875 20.7942504882812 -3.46375012397766 24.2580013275146 3.78975009918213 5.77887487411499 15.1302919387817 -0.500291645526886 779 80 44 20.4403533935547 237 147 195 201
6035 "SWE" 56.1169 13.757 40 6.97534370422363 7.33818769454956 30.2505874633789 639.80419921875 20.7942504882812 -3.46375012397766 24.2580013275146 3.78975009918213 5.77887487411499 15.1302919387817 -0.500291645526886 779 80 44 20.4403533935547 237 147 195 201
6933 "ESP" 41.59 2.49 41 14.5316619873047 9.46911525726318 38.0834426879883 560.623046875 27.863842010498 2.99971747398376 24.8641242980957 15.5226459503174 21.6519775390625 21.8230228424072 8.24938774108887 720 89 32 24.9795303344727 239 140 173 161
6961 "ESP" 38.3333 -3.53333 42 16.2925319671631 13.5327291488647 40.3302955627441 711.780090332031 35.8537483215332 2.29900002479553 33.5547485351562 12.0259580612183 25.463041305542 25.5995006561279 8.32033348083496 403 58 5 50.135856628418 156 30 32 142
6970 "ESP" 41.7194 2.93056 43 14.3230085372925 9.75968170166016 38.7798118591309 558.8388671875 27.7323532104492 2.5654411315918 25.1669120788574 15.3139095306396 21.4271450042725 21.5436878204346 8.02794075012207 703 87 28 25.0724773406982 225 133 155 164
6971 "ESP" 41.7457 2.95696 44 14.3230085372925 9.75968170166016 38.7798118591309 558.8388671875 27.7323532104492 2.5654411315918 25.1669120788574 15.3139095306396 21.4271450042725 21.5436878204346 8.02794075012207 703 87 28 25.0724773406982 225 133 155 164
7063 "ESP" 29.2144 -13.4811 45 19.0285472869873 6.99718427658081 53.4136238098145 208.257888793945 25.6905403137207 12.5905408859253 13.0999994277954 16.6157646179199 20.9581089019775 21.6326580047607 16.6157646179199 154 32 0 86.0229034423828 87 2 5 87
7327 "ESP" 41.7833 3.03333 46 14.8927669525146 9.31635189056396 38.1935844421387 549.846069335938 27.8377361297607 3.44528293609619 24.3924522399902 15.8908805847168 21.877986907959 21.9757862091064 8.68521976470947 608 80 22 28.2936344146729 202 114 139 136
7328 "ESP" 41.8118 3.06193 47 14.8927669525146 9.31635189056396 38.1935844421387 549.846069335938 27.8377361297607 3.44528293609619 24.3924522399902 15.8908805847168 21.877986907959 21.9757862091064 8.68521976470947 608 80 22 28.2936344146729 202 114 139 136
